time,实时发电_风电
2025-08-28 22:15:00,391.32
2025-08-28 22:30:00,409.235
2025-08-28 22:45:00,410.06
2025-08-28 23:00:00,398.455
2025-08-28 23:15:00,387.543
2025-08-28 23:30:00,372.318
2025-08-28 23:45:00,360.003
2025-08-29 00:00:00,344.997
2025-08-29 00:15:00,336.79
2025-08-29 00:30:00,325.223
2025-08-29 00:45:00,311.985
2025-08-29 01:00:00,302.008
2025-08-29 01:15:00,299.825
2025-08-29 01:30:00,304.855
2025-08-29 01:45:00,308.772
2025-08-29 02:00:00,300.34
2025-08-29 02:15:00,285.543
2025-08-29 02:30:00,271.878
2025-08-29 02:45:00,267.86
2025-08-29 03:00:00,260.193
2025-08-29 03:15:00,252.242
2025-08-29 03:30:00,247.917
2025-08-29 03:45:00,239.145
2025-08-29 04:00:00,230.475
2025-08-29 04:15:00,220.117
2025-08-29 04:30:00,229.747
