time,实时出清价格
2025-11-07 18:15:00,313.080292
2025-11-07 18:30:00,273.769287
2025-11-07 18:45:00,269.816132
2025-11-07 19:00:00,265.434296
2025-11-07 19:15:00,255.012619
2025-11-07 19:30:00,233.540558
2025-11-07 19:45:00,270.208557
2025-11-07 20:00:00,253.676468
2025-11-07 20:15:00,248.920898
2025-11-07 20:30:00,234.589447
2025-11-07 20:45:00,165.320251
2025-11-07 21:00:00,245.185715
2025-11-07 21:15:00,281.598206
2025-11-07 21:30:00,177.279236
2025-11-07 21:45:00,143.484222
2025-11-07 22:00:00,146.021576
2025-11-07 22:15:00,196.103531
2025-11-07 22:30:00,244.853592
2025-11-07 22:45:00,243.68309
2025-11-07 23:00:00,264.51062
2025-11-07 23:15:00,229.138062
2025-11-07 23:30:00,195.297073
2025-11-07 23:45:00,149.78064
2025-11-08 00:00:00,300.797333
2025-11-08 00:15:00,316.575378
2025-11-08 00:30:00,315.284912
2025-11-08 00:45:00,316.200256
2025-11-08 01:00:00,315.241943
2025-11-08 01:15:00,316.076996
2025-11-08 01:30:00,315.058899
2025-11-08 01:45:00,316.069611
2025-11-08 02:00:00,279.590271
2025-11-08 02:15:00,316.076019
2025-11-08 02:30:00,286.037201
2025-11-08 02:45:00,288.758148
2025-11-08 03:00:00,288.162842
2025-11-08 03:15:00,288.370941
2025-11-08 03:30:00,289.01239
2025-11-08 03:45:00,287.743103
2025-11-08 04:00:00,286.387115
2025-11-08 04:15:00,280.808655
2025-11-08 04:30:00,279.223602
2025-11-08 04:45:00,286.133942
2025-11-08 05:00:00,287.238739
2025-11-08 05:15:00,289.334564
2025-11-08 05:30:00,289.631958
2025-11-08 05:45:00,290.820129
2025-11-08 06:00:00,290.399963
2025-11-08 06:15:00,308.084229
2025-11-08 06:30:00,291.042084
2025-11-08 06:45:00,290.620056
2025-11-08 07:00:00,309.010529
2025-11-08 07:15:00,296.764862
2025-11-08 07:30:00,295.377014
2025-11-08 07:45:00,316.095856
2025-11-08 08:00:00,314.032898
2025-11-08 08:15:00,298.341858
2025-11-08 08:30:00,298.8573
2025-11-08 08:45:00,292.517456
2025-11-08 09:00:00,206.066223
2025-11-08 09:15:00,153.32869
2025-11-08 09:30:00,155.238129
2025-11-08 09:45:00,155.498016
2025-11-08 10:00:00,256.914703
2025-11-08 10:15:00,158.594543
2025-11-08 10:30:00,162.936996
2025-11-08 10:45:00,134.306351
2025-11-08 11:00:00,164.692795
2025-11-08 11:15:00,100.979889
2025-11-08 11:30:00,17.348587
2025-11-08 11:45:00,66.258377
2025-11-08 12:00:00,163.451004
2025-11-08 12:15:00,268.140869
2025-11-08 12:30:00,262.795746
2025-11-08 12:45:00,269.408875
2025-11-08 13:00:00,299.517242
2025-11-08 13:15:00,311.076263
2025-11-08 13:30:00,314.595032
2025-11-08 13:45:00,312.285645
2025-11-08 14:00:00,309.811554
2025-11-08 14:15:00,323.310364
2025-11-08 14:30:00,311.791107
2025-11-08 14:45:00,311.873566
2025-11-08 15:00:00,323.789948
2025-11-08 15:15:00,300.970306
2025-11-08 15:30:00,316.585876
2025-11-08 15:45:00,312.995789
2025-11-08 16:00:00,316.709839
2025-11-08 16:15:00,318.766724
2025-11-08 16:30:00,319.411194
2025-11-08 16:45:00,320.465363
2025-11-08 17:00:00,321.609955
2025-11-08 17:15:00,321.753265
2025-11-08 17:30:00,321.579102
2025-11-08 17:45:00,320.626923
2025-11-08 18:00:00,320.610992
2025-11-08 18:15:00,318.070404
2025-11-08 18:30:00,317.50589
2025-11-08 18:45:00,317.146759
2025-11-08 19:00:00,314.45163
2025-11-08 19:15:00,301.952637
2025-11-08 19:30:00,297.51004
2025-11-08 19:45:00,299.264954
2025-11-08 20:00:00,296.561584
2025-11-08 20:15:00,311.790741
2025-11-08 20:30:00,312.63028
2025-11-08 20:45:00,314.511292
2025-11-08 21:00:00,315.663239
2025-11-08 21:15:00,316.593201
2025-11-08 21:30:00,317.510101
2025-11-08 21:45:00,318.187805
2025-11-08 22:00:00,318.188538
2025-11-08 22:15:00,318.192261
2025-11-08 22:30:00,318.179504
2025-11-08 22:45:00,318.14389
2025-11-08 23:00:00,318.0
2025-11-08 23:15:00,316.999908
2025-11-08 23:30:00,324.178436
2025-11-08 23:45:00,315.000031
2025-11-09 00:00:00,325.04422
2025-11-09 00:15:00,326.395935
2025-11-09 00:30:00,320.0
2025-11-09 00:45:00,320.000061
2025-11-09 01:00:00,332.000153
2025-11-09 01:15:00,321.870087
